onset	duration	trial_type	amplitude
503.0	1.0	street	0.0
504.0	1.0	street	0.0
505.0	1.0	street	0.0
506.0	1.0	street	0.0
507.0	1.0	street	0.0
508.0	1.0	street	0.0
509.0	1.0	street	0.0
510.0	1.0	street	0.0
511.0	1.0	street	0.0
512.0	1.0	street	0.0
513.0	1.0	street	0.0
514.0	1.0	street	0.0
515.0	1.0	street	0.0
516.0	1.0	street	0.0
517.0	1.0	street	0.0
518.0	1.0	street	0.0
519.0	1.0	street	0.0
520.0	1.0	street	0.0
521.0	1.0	street	0.0
522.0	1.0	street	0.0
523.0	1.0	street	0.0
524.0	1.0	street	0.0
525.0	1.0	street	0.0
526.0	1.0	street	0.0
527.0	1.0	street	0.0
528.0	1.0	street	0.0
529.0	1.0	street	0.0
530.0	1.0	street	0.0
531.0	1.0	street	0.0
532.0	1.0	street	0.0
533.0	1.0	street	0.0
534.0	1.0	street	0.0
535.0	1.0	street	0.0
536.0	1.0	street	0.0
537.0	1.0	street	0.0
538.0	1.0	street	0.0
539.0	1.0	street	0.0
540.0	1.0	street	0.0
541.0	1.0	street	0.0
542.0	1.0	street	0.0
543.0	1.0	street	0.0
544.0	1.0	street	0.0
545.0	1.0	street	0.0
546.0	1.0	street	0.0
547.0	1.0	street	0.0
548.0	1.0	street	0.0
549.0	1.0	street	0.0
550.0	1.0	street	0.0
551.0	1.0	street	0.0
552.0	1.0	street	0.0
553.0	1.0	street	0.0
554.0	1.0	street	0.0
555.0	1.0	street	0.0
556.0	1.0	street	0.0
557.0	1.0	street	0.0
558.0	1.0	street	0.0
559.0	1.0	street	0.0
560.0	1.0	street	0.0
561.0	1.0	street	0.0
562.0	1.0	street	0.0
563.0	1.0	street	0.0
564.0	1.0	street	0.0
565.0	1.0	street	0.0
566.0	1.0	street	0.0
567.0	1.0	street	0.0
568.0	1.0	street	0.0
569.0	1.0	street	0.0
570.0	1.0	street	0.0
571.0	1.0	street	0.0
572.0	1.0	street	0.0
573.0	1.0	street	0.0
574.0	1.0	street	0.0
575.0	1.0	street	0.0
576.0	1.0	street	0.0
577.0	1.0	street	0.0
578.0	1.0	street	0.0
579.0	1.0	street	0.0
580.0	1.0	street	0.0
581.0	1.0	street	0.0
582.0	1.0	street	0.0
583.0	1.0	street	0.0
584.0	1.0	street	0.0
585.0	1.0	street	0.0
586.0	1.0	street	0.0
587.0	1.0	street	0.0
588.0	1.0	street	0.0
589.0	1.0	street	0.0
